node,algorithm,operation,message_size,time_ms,energy_joule
B,AES,encrypt,2,11.895500007085502,0.05947750003542751
A,AES,decrypt,32,7.746299961581826,0.03873149980790913
A,AES,encrypt,3,0.6089999806135893,0.0030449999030679464
B,AES,decrypt,32,0.5808999994769692,0.002904499997384846
B,AES,encrypt,7,0.5993000231683254,0.002996500115841627
A,AES,decrypt,32,0.26050000451505184,0.0013025000225752592
A,AES,encrypt,7,0.1990000018849969,0.0009950000094249845
B,AES,decrypt,32,0.20640005823224783,0.0010320002911612391
B,DES,encrypt,2,54.03440003283322,0.2701720001641661
A,DES,decrypt,16,8.287100004963577,0.041435500024817884
B,AES,encrypt,2,29.299399990122765,0.14649699995061383
A,AES,decrypt,32,4.962300008628517,0.024811500043142587
B,AES,encrypt,2,32.75890000077197,0.16379450000385987
A,AES,decrypt,32,4.582699999446049,0.022913499997230247
B,DES,encrypt,2,11.196700001164572,0.05598350000582286
A,DES,decrypt,16,4.904600000372739,0.024523000001863693
A,DES,encrypt,3,0.16630000027362257,0.0008315000013681129
B,DES,decrypt,16,0.17430000116291922,0.0008715000058145961
B,AES,encrypt,TEXT,2,39.33030000189319,0.19665150000946596
A,AES,decrypt,TEXT,32,5.934300017543137,0.029671500087715685
A,AES,encrypt,TEXT,3,0.4013000288978219,0.0020065001444891095
B,AES,decrypt,TEXT,32,0.5539000267162919,0.0027695001335814595
A,AES,encrypt,IMAGE,8192,0.1615999499335885,0.0008079997496679425
A,AES,encrypt,IMAGE,8192,0.08349999552592635,0.00041749997762963176
A,AES,encrypt,IMAGE,8192,0.06920000305399299,0.00034600001526996493
A,AES,encrypt,IMAGE,8192,0.05909998435527086,0.0002954999217763543
A,AES,encrypt,IMAGE,8192,0.05829997826367617,0.00029149989131838083
A,AES,encrypt,IMAGE,8192,0.05570001667365432,0.0002785000833682716
A,AES,encrypt,IMAGE,8192,0.0675999908708036,0.000337999954354018
A,AES,encrypt,IMAGE,8192,0.052499992307275534,0.00026249996153637767
A,AES,encrypt,IMAGE,8192,0.05150004290044308,0.0002575002145022154
A,AES,encrypt,IMAGE,8192,0.05069997860118747,0.00025349989300593734
A,AES,encrypt,IMAGE,8192,0.053800002206116915,0.0002690000110305846
A,AES,encrypt,IMAGE,8192,0.04800001624971628,0.0002400000812485814
A,AES,encrypt,IMAGE,8192,0.04220003029331565,0.00021100015146657825
A,AES,encrypt,IMAGE,8192,0.04309997893869877,0.00021549989469349384
A,AES,encrypt,IMAGE,8192,0.04770001396536827,0.00023850006982684135
A,AES,encrypt,IMAGE,8192,0.04509999416768551,0.00022549997083842754
A,AES,encrypt,IMAGE,8192,0.04150002496317029,0.00020750012481585145
A,AES,encrypt,IMAGE,8192,0.0412999652326107,0.0002064998261630535
A,AES,encrypt,IMAGE,8192,0.045199994929134846,0.00022599997464567423
A,AES,encrypt,IMAGE,8192,0.04290003562346101,0.00021450017811730504
A,AES,encrypt,IMAGE,8192,0.04509999416768551,0.00022549997083842754
A,AES,encrypt,IMAGE,8192,0.07339997682720423,0.00036699988413602114
A,AES,encrypt,IMAGE,8192,0.0838999985717237,0.0004194999928586185
A,AES,encrypt,IMAGE,8192,0.10080001084133983,0.0005040000542066991
B,AES,encrypt,TEXT,2,0.1917000045068562,0.000958500022534281
A,AES,decrypt,TEXT,32,0.5329999839887023,0.0026649999199435115
B,AES,encrypt,TEXT,2,16.161000006832182,0.08080500003416091
A,AES,decrypt,TEXT,32,8.085999987088144,0.04042999993544072
A,AES,encrypt,TEXT,3,0.1474000164307654,0.000737000082153827
B,AES,decrypt,TEXT,32,0.36810000892728567,0.0018405000446364284
B,AES,encrypt,IMAGE,8192,0.0914999982342124,0.000457499991171062
B,AES,encrypt,IMAGE,8192,0.06989995017647743,0.00034949975088238716
B,AES,encrypt,IMAGE,8192,0.055699958465993404,0.000278499792329967
B,AES,encrypt,IMAGE,8192,0.05059997783973813,0.00025299988919869065
B,AES,encrypt,IMAGE,8192,0.0610999995842576,0.000305499997921288
B,AES,encrypt,IMAGE,8192,0.09529996896162629,0.00047649984480813146
B,AES,encrypt,IMAGE,8192,0.06960000609979033,0.0003480000304989517
B,AES,encrypt,IMAGE,8192,0.08189998334273696,0.0004094999167136848
B,AES,encrypt,IMAGE,8192,0.06280001252889633,0.00031400006264448166
B,AES,encrypt,IMAGE,8192,0.06260001100599766,0.0003130000550299883
B,AES,encrypt,IMAGE,8192,0.05779997445642948,0.0002889998722821474
B,AES,encrypt,IMAGE,8192,0.054500007536262274,0.00027250003768131137
B,AES,encrypt,IMAGE,8192,0.05979998968541622,0.0002989999484270811
B,AES,encrypt,IMAGE,8192,0.06350001785904169,0.00031750008929520845
B,AES,encrypt,IMAGE,8192,0.06900000153109431,0.00034500000765547156
B,AES,encrypt,IMAGE,8192,0.06509997183457017,0.00032549985917285085
B,AES,encrypt,IMAGE,8192,0.06400002166628838,0.0003200001083314419
B,AES,encrypt,IMAGE,8192,0.051499984692782164,0.0002574999234639108
B,AES,encrypt,IMAGE,8192,0.055500015150755644,0.0002775000757537782
B,AES,encrypt,IMAGE,8192,0.08650001836940646,0.0004325000918470323
B,AES,encrypt,IMAGE,8192,0.06609997944906354,0.0003304998972453177
B,AES,encrypt,IMAGE,8192,0.05879998207092285,0.00029399991035461426
B,AES,encrypt,IMAGE,8192,0.0523999915458262,0.000261999957729131
B,AES,encrypt,IMAGE,8192,0.09090005187317729,0.00045450025936588645
A,AES,encrypt,IMAGE,8192,0.12639997294172645,0.0006319998647086322
A,AES,encrypt,IMAGE,8192,0.09620003402233124,0.0004810001701116562
A,AES,encrypt,IMAGE,8192,0.06690004374831915,0.00033450021874159575
A,AES,encrypt,IMAGE,8192,0.13609998859465122,0.0006804999429732561
